rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0002.jpg,0.8,0.7911,0.7821,0.6667,1.0,7,4,False,True
2,frame_0003.jpg,1.2,0.7534,0.7068,0.6667,1.0,7,4,False,False
3,frame_0076.jpg,30.4,0.7501,0.7321,0.6667,0.92,7,4,False,True
4,frame_0018.jpg,7.2,0.7283,0.7566,0.5,1.0,5,3,False,True
5,frame_0133.jpg,53.2,0.7268,0.6535,0.6667,1.0,8,4,False,True
6,frame_0368.jpg,147.2,0.7191,0.9222,0.8333,0.04,10,5,False,True
7,frame_0387.jpg,154.8,0.7166,0.8532,0.8333,0.2,10,5,False,True
8,frame_0007.jpg,2.8,0.7146,0.6291,0.6667,1.0,5,4,False,False
9,frame_0023.jpg,9.2,0.6951,0.8902,0.1667,1.0,1,1,False,False
10,frame_0009.jpg,3.6,0.688,0.7761,0.3333,1.0,2,2,False,True
11,frame_0017.jpg,6.8,0.6802,0.5604,0.6667,1.0,6,4,False,False
12,frame_0030.jpg,12.0,0.6757,0.5513,0.6667,1.0,6,4,False,True
13,frame_0072.jpg,28.8,0.6741,0.6481,0.5,1.0,6,3,False,False
14,frame_0203.jpg,81.2,0.6716,0.6871,0.6667,0.64,4,4,False,True
15,frame_0291.jpg,116.4,0.6686,0.7012,0.5,0.84,7,3,False,True
16,frame_0170.jpg,68.0,0.6675,0.743,0.6667,0.48,10,4,False,True
17,frame_0070.jpg,28.0,0.6643,0.8285,0.1667,1.0,6,1,False,True
18,frame_0375.jpg,150.0,0.6586,0.7373,0.8333,0.2,9,5,False,False
19,frame_0067.jpg,26.8,0.6572,0.6144,0.5,1.0,9,3,False,False
20,frame_0031.jpg,12.4,0.6549,0.6098,0.5,1.0,6,3,False,False
21,frame_0126.jpg,50.4,0.6535,0.703,0.5,0.76,8,3,False,False
22,frame_0399.jpg,159.6,0.6499,0.5878,1.0,0.28,7,6,False,False
23,frame_0033.jpg,13.2,0.6483,0.6966,0.3333,1.0,8,2,False,False
24,frame_0069.jpg,27.6,0.6462,0.6925,0.3333,1.0,6,2,False,False
25,frame_0124.jpg,49.6,0.6455,0.7191,0.5,0.68,7,3,False,False
26,frame_0074.jpg,29.6,0.6413,0.7826,0.1667,1.0,6,1,False,False
27,frame_0385.jpg,154.0,0.6373,0.7945,0.6667,0.2,7,4,False,False
28,frame_0132.jpg,52.8,0.6326,0.5652,0.5,1.0,5,3,False,False
29,frame_0078.jpg,31.2,0.622,0.708,0.3333,0.84,6,2,False,False
30,frame_0021.jpg,8.4,0.6191,0.6383,0.3333,1.0,5,2,False,False
31,frame_0196.jpg,78.4,0.6118,0.9796,0.1667,0.36,2,1,False,False
32,frame_0328.jpg,131.2,0.608,0.784,0.6667,0.08,10,4,False,False
33,frame_0318.jpg,127.2,0.6068,0.6177,0.8333,0.24,8,5,False,False
34,frame_0284.jpg,113.6,0.6067,0.7894,0.3333,0.56,5,2,False,False
35,frame_0027.jpg,10.8,0.6062,0.6125,0.3333,1.0,3,2,False,False
36,frame_0211.jpg,84.4,0.6051,0.7542,0.3333,0.64,2,2,False,False
37,frame_0296.jpg,118.4,0.6024,0.7489,0.3333,0.64,6,2,False,False
38,frame_0095.jpg,38.0,0.6007,0.7373,0.6667,0.16,6,4,False,False
39,frame_0081.jpg,32.4,0.6006,0.6132,0.5,0.72,3,3,False,False
40,frame_0014.jpg,5.6,0.5951,0.6902,0.1667,1.0,4,1,False,False
41,frame_0292.jpg,116.8,0.5939,0.6678,0.3333,0.8,6,2,False,False
42,frame_0127.jpg,50.8,0.5922,0.6644,0.3333,0.8,7,2,False,False
43,frame_0290.jpg,116.0,0.5918,0.6636,0.3333,0.8,6,2,False,False
44,frame_0286.jpg,114.4,0.5914,0.5268,0.6667,0.64,7,4,False,False
45,frame_0306.jpg,122.4,0.59,0.884,0.3333,0.24,7,2,False,False
46,frame_0005.jpg,2.0,0.589,0.578,0.3333,1.0,5,2,False,False
47,frame_0098.jpg,39.2,0.5838,0.7516,0.6667,0.04,6,4,False,False
48,frame_0103.jpg,41.2,0.5829,0.8018,0.5,0.16,4,3,False,False
49,frame_0379.jpg,151.6,0.5813,0.7466,0.6667,0.04,11,4,False,False
50,frame_0004.jpg,1.6,0.579,0.558,0.3333,1.0,7,2,False,False
51,frame_0285.jpg,114.0,0.5773,0.7146,0.3333,0.6,4,2,False,False
52,frame_0010.jpg,4.0,0.5766,0.6531,0.1667,1.0,2,1,False,False
53,frame_0172.jpg,68.8,0.5756,0.5912,0.6667,0.4,7,4,False,False
54,frame_0073.jpg,29.2,0.5742,0.6484,0.1667,1.0,6,1,False,False
55,frame_0374.jpg,149.6,0.5726,0.7653,0.5,0.2,9,3,False,False
56,frame_0210.jpg,84.0,0.5669,0.5618,0.5,0.68,4,3,False,False
57,frame_0000.jpg,0.0,0.5657,0.5315,0.3333,1.0,7,2,False,False
58,frame_0198.jpg,79.2,0.5635,0.851,0.1667,0.44,1,1,False,False
59,frame_0008.jpg,3.2,0.5634,0.7267,0.0,1.0,3,0,False,False
60,frame_0371.jpg,148.4,0.5628,0.6936,0.6667,0.08,8,4,False,False
61,frame_0275.jpg,110.0,0.5623,0.7446,0.5,0.2,8,3,False,False
62,frame_0298.jpg,119.2,0.5617,0.4994,0.6667,0.56,7,4,False,False
63,frame_0297.jpg,118.8,0.5598,0.6796,0.3333,0.6,7,2,False,False
64,frame_0077.jpg,30.8,0.5553,0.5586,0.3333,0.88,8,2,False,False
65,frame_0016.jpg,6.4,0.5549,0.5098,0.3333,1.0,6,2,False,False
66,frame_0277.jpg,110.8,0.5543,0.5965,0.6667,0.28,8,4,False,False
67,frame_0113.jpg,45.2,0.5537,0.8115,0.3333,0.24,4,2,False,False
68,frame_0309.jpg,123.6,0.5523,0.7566,0.5,0.12,5,3,False,False
69,frame_0295.jpg,118.0,0.5496,0.7271,0.1667,0.68,7,1,False,False
70,frame_0217.jpg,86.8,0.5492,0.7385,0.3333,0.4,3,2,False,False
71,frame_0075.jpg,30.0,0.5488,0.6135,0.1667,0.96,5,1,False,False
72,frame_0114.jpg,45.6,0.5479,0.6838,0.5,0.28,7,3,False,False
73,frame_0201.jpg,80.4,0.5471,0.5701,0.5,0.56,4,3,False,False
74,frame_0012.jpg,4.8,0.5453,0.5906,0.1667,1.0,3,1,False,False
75,frame_0015.jpg,6.0,0.5386,0.5771,0.1667,1.0,4,1,False,False
76,frame_0388.jpg,155.2,0.5377,0.6114,0.6667,0.16,10,4,False,False
77,frame_0173.jpg,69.2,0.5338,0.7237,0.3333,0.36,6,2,False,False
78,frame_0121.jpg,48.4,0.5323,0.5405,0.5,0.56,4,3,False,False
79,frame_0301.jpg,120.4,0.5308,0.6857,0.3333,0.44,5,2,False,False
80,frame_0169.jpg,67.6,0.5304,0.6528,0.3333,0.52,7,2,False,False
81,frame_0377.jpg,150.8,0.5303,0.7126,0.5,0.12,10,3,False,False
82,frame_0028.jpg,11.2,0.5294,0.5587,0.1667,1.0,4,1,False,False
83,frame_0130.jpg,52.0,0.5286,0.5891,0.1667,0.92,5,1,False,False
84,frame_0383.jpg,153.2,0.5279,0.5078,0.8333,0.12,7,5,False,False
85,frame_0307.jpg,122.8,0.5236,0.7672,0.3333,0.2,10,2,False,False
86,frame_0384.jpg,153.6,0.5227,0.6813,0.5,0.16,8,3,False,False
87,frame_0333.jpg,133.2,0.5223,0.6126,0.6667,0.08,8,4,False,False
88,frame_0106.jpg,42.4,0.5213,0.7266,0.5,0.04,7,3,False,False
89,frame_0367.jpg,146.8,0.5211,0.8102,0.3333,0.08,9,2,False,False
90,frame_0013.jpg,5.2,0.521,0.4421,0.3333,1.0,4,2,False,False
91,frame_0303.jpg,121.2,0.5207,0.5975,0.5,0.36,7,3,False,False
92,frame_0199.jpg,79.6,0.5193,0.7466,0.1667,0.48,1,1,False,False
93,frame_0231.jpg,92.4,0.5191,0.6742,0.5,0.16,8,3,False,False
94,frame_0300.jpg,120.0,0.5157,0.6394,0.3333,0.48,7,2,False,False
95,frame_0373.jpg,149.2,0.5145,0.5649,0.6667,0.16,8,4,False,False
96,frame_0322.jpg,128.8,0.514,0.664,0.5,0.16,7,3,False,False
97,frame_0389.jpg,155.6,0.5127,0.7774,0.3333,0.12,8,2,False,False
98,frame_0316.jpg,126.4,0.5091,0.5542,0.6667,0.16,7,4,False,False
99,frame_0079.jpg,31.6,0.5083,0.5965,0.1667,0.8,5,1,False,False
100,frame_0125.jpg,50.0,0.5083,0.5286,0.3333,0.72,6,2,False,False
101,frame_0302.jpg,120.8,0.5081,0.6562,0.3333,0.4,6,2,False,False
102,frame_0084.jpg,33.6,0.5076,0.6751,0.1667,0.6,3,1,False,False
103,frame_0001.jpg,0.4,0.5039,0.5078,0.1667,1.0,6,1,False,False
104,frame_0188.jpg,75.2,0.5031,0.7902,0.3333,0.04,8,2,False,False
105,frame_0330.jpg,132.0,0.5013,0.7867,0.3333,0.04,8,2,False,False
106,frame_0391.jpg,156.4,0.5009,0.6858,0.5,0.04,7,3,False,False
107,frame_0131.jpg,52.4,0.5001,0.5162,0.1667,0.96,4,1,False,False
108,frame_0029.jpg,11.6,0.499,0.3981,0.3333,1.0,6,2,False,False
109,frame_0229.jpg,91.6,0.4975,0.563,0.6667,0.08,7,4,False,False
110,frame_0120.jpg,48.0,0.497,0.4859,0.5,0.52,4,3,False,False
111,frame_0397.jpg,158.8,0.4955,0.7111,0.3333,0.2,6,2,False,False
112,frame_0305.jpg,122.0,0.4938,0.6756,0.3333,0.28,5,2,False,False
113,frame_0320.jpg,128.0,0.4928,0.4895,0.6667,0.24,8,4,False,False
114,frame_0299.jpg,119.6,0.4926,0.4772,0.5,0.52,6,3,False,False
115,frame_0395.jpg,158.0,0.4924,0.6368,0.5,0.12,6,3,False,False
116,frame_0321.jpg,128.4,0.4904,0.6008,0.5,0.2,6,3,False,False
117,frame_0089.jpg,35.6,0.4897,0.7193,0.1667,0.4,6,1,False,False
118,frame_0376.jpg,150.4,0.4892,0.7144,0.3333,0.16,6,2,False,False
119,frame_0372.jpg,148.8,0.4887,0.6293,0.5,0.12,9,3,False,False
120,frame_0308.jpg,123.2,0.4883,0.8125,0.1667,0.16,6,1,False,False
121,frame_0280.jpg,112.0,0.4855,0.611,0.3333,0.4,8,2,False,False
122,frame_0233.jpg,93.2,0.4848,0.5737,0.5,0.24,7,3,False,False
123,frame_0026.jpg,10.4,0.4841,0.3683,0.3333,1.0,4,2,False,False
124,frame_0276.jpg,110.4,0.4837,0.5714,0.5,0.24,9,3,False,False
125,frame_0278.jpg,111.2,0.4833,0.6386,0.3333,0.32,7,2,False,False
126,frame_0214.jpg,85.6,0.4803,0.6526,0.1667,0.52,2,1,False,False
127,frame_0032.jpg,12.8,0.4793,0.3586,0.3333,1.0,7,2,False,False
128,frame_0186.jpg,74.4,0.4754,0.5347,0.6667,0.04,9,4,False,False
129,frame_0209.jpg,83.6,0.4725,0.6569,0.0,0.72,3,0,False,False
130,frame_0268.jpg,107.2,0.472,0.6121,0.5,0.08,5,3,False,False
131,frame_0068.jpg,27.2,0.4707,0.4414,0.1667,1.0,7,1,False,False
132,frame_0083.jpg,33.2,0.4702,0.3844,0.5,0.64,6,3,False,False
133,frame_0094.jpg,37.6,0.4676,0.5552,0.5,0.2,4,3,False,False
134,frame_0091.jpg,36.4,0.4618,0.5956,0.3333,0.32,3,2,False,False
135,frame_0288.jpg,115.2,0.4577,0.4274,0.3333,0.72,6,2,False,False
136,frame_0179.jpg,71.6,0.4576,0.6673,0.3333,0.12,4,2,False,False
137,frame_0176.jpg,70.4,0.456,0.516,0.5,0.24,7,3,False,False
138,frame_0390.jpg,156.0,0.455,0.6781,0.3333,0.08,6,2,False,False
139,frame_0011.jpg,4.4,0.4537,0.4073,0.1667,1.0,3,1,False,False
140,frame_0108.jpg,43.2,0.4522,0.5884,0.5,0.04,7,3,False,False
141,frame_0167.jpg,66.8,0.4521,0.4643,0.3333,0.6,6,2,False,False
142,frame_0174.jpg,69.6,0.4521,0.5762,0.3333,0.32,5,2,False,False
143,frame_0329.jpg,131.6,0.452,0.472,0.6667,0.08,11,4,False,False
144,frame_0116.jpg,46.4,0.4511,0.6582,0.1667,0.36,7,1,False,False
145,frame_0319.jpg,127.6,0.4511,0.5902,0.3333,0.28,8,2,False,False
146,frame_0223.jpg,89.2,0.4477,0.4313,0.6667,0.16,7,4,False,False
147,frame_0378.jpg,151.2,0.447,0.6621,0.3333,0.08,10,2,False,False
148,frame_0281.jpg,112.4,0.445,0.714,0.0,0.44,4,0,False,False
149,frame_0396.jpg,158.4,0.4443,0.6247,0.3333,0.16,6,2,False,False
150,frame_0181.jpg,72.4,0.4436,0.5713,0.5,0.04,6,3,False,False
151,frame_0205.jpg,82.0,0.443,0.398,0.3333,0.72,2,2,False,False
152,frame_0207.jpg,82.8,0.4427,0.3655,0.3333,0.8,2,2,False,False
153,frame_0293.jpg,117.2,0.4417,0.4794,0.1667,0.76,5,1,False,False
154,frame_0386.jpg,154.4,0.4402,0.5845,0.3333,0.24,7,2,False,False
155,frame_0082.jpg,32.8,0.4393,0.4066,0.3333,0.68,6,2,False,False
156,frame_0325.jpg,130.0,0.4393,0.5625,0.5,0.04,4,3,False,False
157,frame_0080.jpg,32.0,0.4391,0.4741,0.1667,0.76,6,1,False,False
158,frame_0024.jpg,9.6,0.4367,0.4734,0.0,1.0,1,0,False,False
159,frame_0273.jpg,109.2,0.4339,0.5198,0.5,0.12,6,3,False,False
160,frame_0279.jpg,111.6,0.4337,0.5235,0.3333,0.36,7,2,False,False
161,frame_0393.jpg,157.2,0.4323,0.4485,0.6667,0.04,5,4,False,False
162,frame_0202.jpg,80.8,0.432,0.424,0.3333,0.6,4,2,False,False
163,frame_0097.jpg,38.8,0.4312,0.6305,0.3333,0.08,5,2,False,False
164,frame_0287.jpg,114.8,0.427,0.382,0.3333,0.68,6,2,False,False
165,frame_0128.jpg,51.2,0.4264,0.4167,0.1667,0.84,5,1,False,False
166,frame_0105.jpg,42.0,0.4246,0.6172,0.3333,0.08,7,2,False,False
167,frame_0394.jpg,157.6,0.4246,0.5173,0.5,0.08,5,3,False,False
168,frame_0087.jpg,34.8,0.4243,0.6565,0.0,0.48,3,0,False,False
169,frame_0193.jpg,77.2,0.423,0.45,0.5,0.24,6,3,False,False
170,frame_0096.jpg,38.4,0.4194,0.4908,0.5,0.12,6,3,False,False
171,frame_0090.jpg,36.0,0.4177,0.4915,0.3333,0.36,6,2,False,False
172,frame_0332.jpg,132.8,0.4174,0.7188,0.1667,0.04,8,1,False,False
173,frame_0104.jpg,41.6,0.4172,0.6863,0.1667,0.12,3,1,False,False
174,frame_0180.jpg,72.0,0.4102,0.5885,0.3333,0.08,6,2,False,False
175,frame_0118.jpg,47.2,0.4097,0.5434,0.1667,0.44,4,1,False,False
176,frame_0129.jpg,51.6,0.4083,0.4647,0.0,0.88,6,0,False,False
177,frame_0282.jpg,112.8,0.408,0.5239,0.1667,0.48,4,1,False,False
178,frame_0232.jpg,92.8,0.407,0.7339,0.0,0.2,6,0,False,False
179,frame_0317.jpg,126.8,0.4042,0.6284,0.1667,0.2,5,1,False,False
180,frame_0093.jpg,37.2,0.403,0.7101,0.0,0.24,2,0,False,False
181,frame_0168.jpg,67.2,0.4012,0.4784,0.1667,0.56,5,1,False,False
182,frame_0274.jpg,109.6,0.3999,0.5359,0.3333,0.16,6,2,False,False
183,frame_0289.jpg,115.6,0.3997,0.3953,0.1667,0.76,4,1,False,False
184,frame_0267.jpg,106.8,0.3976,0.4471,0.5,0.12,6,3,False,False
185,frame_0177.jpg,70.8,0.3974,0.5148,0.3333,0.2,6,2,False,False
186,frame_0071.jpg,28.4,0.3948,0.3895,0.0,1.0,6,0,False,False
187,frame_0171.jpg,68.4,0.3943,0.6126,0.0,0.44,7,0,False,False
188,frame_0382.jpg,152.8,0.3935,0.555,0.3333,0.08,10,2,False,False
189,frame_0222.jpg,88.8,0.3921,0.5042,0.3333,0.2,6,2,False,False
190,frame_0206.jpg,82.4,0.3915,0.379,0.1667,0.76,3,1,False,False
191,frame_0191.jpg,76.4,0.3902,0.6163,0.1667,0.16,3,1,False,False
192,frame_0184.jpg,73.6,0.3877,0.5434,0.3333,0.08,6,2,False,False
193,frame_0315.jpg,126.0,0.3858,0.5237,0.3333,0.12,5,2,False,False
194,frame_0294.jpg,117.6,0.3803,0.4727,0.0,0.72,5,0,False,False
195,frame_0327.jpg,130.8,0.3791,0.5423,0.3333,0.04,10,2,False,False
196,frame_0085.jpg,34.0,0.3755,0.4269,0.1667,0.56,5,1,False,False
197,frame_0022.jpg,8.8,0.374,0.2479,0.1667,1.0,3,1,False,False
198,frame_0230.jpg,92.0,0.3735,0.599,0.1667,0.12,8,1,False,False
199,frame_0194.jpg,77.6,0.3734,0.4349,0.3333,0.28,4,2,False,False
200,frame_0226.jpg,90.4,0.3692,0.4224,0.5,0.04,7,3,False,False
201,frame_0283.jpg,113.2,0.3685,0.3291,0.3333,0.52,5,2,False,False
202,frame_0190.jpg,76.0,0.3684,0.3888,0.5,0.12,4,3,False,False
203,frame_0100.jpg,40.0,0.3639,0.5119,0.3333,0.04,4,2,False,False
204,frame_0122.jpg,48.8,0.3607,0.4813,0.0,0.6,5,0,False,False
205,frame_0204.jpg,81.6,0.3566,0.3412,0.1667,0.68,2,1,False,False
